objectid,code_2,nuts_lvl_2,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,UKC1,Tees Valley and Durham,414643,532242,-1.7744,54.68502045,3026248695.3912,487438.014516899
2,UKC2,Northumberland and Tyne and Wear,398898,602530,-2.01891994,55.31684113,5566180592.2354,751311.485118967
3,UKD1,Cumbria,341868,527389,-2.90217996,54.63825989,6822195397.47302,987066.701024335
4,UKD3,Greater Manchester,377940,401102,-2.33406997,53.50614929,1275981132.61494,248705.119145425
5,UKD4,Lancashire,363669,441026,-2.55392003,53.86418152,3076412675.68591,795004.920936437
6,UKD6,Cheshire,368759,368676,-2.46926999,53.21422958,2263685924.537,447143.875034248
7,UKD7,Merseyside,344324,390164,-2.83892989,53.40534973,725815779.904039,320423.710321294
8,UKE1,East Yorkshire and Northern Lincolnshire,488051,443608,-0.66202998,53.88122177,3516101364.30054,789854.635044849
9,UKE2,North Yorkshire,429509,466515,-1.55032003,54.09371185,8312199109.21811,815031.281811477
10,UKE3,South Yorkshire,441052,398663,-1.38284004,53.48310852,1551563988.62653,287863.880564502
11,UKE4,West Yorkshire,418686,427238,-1.71817005,53.74119949,2029258659.51852,282889.559459654
12,UKF1,Derbyshire and Nottinghamshire,449616,357965,-1.26014996,53.11658096,4788118204.26752,583361.508183236
13,UKF2,"Leicestershire, Rutland and Northamptonshire",470025,284901,-0.97086,52.4575882,4917868075.68212,513347.60658528
14,UKF3,Lincolnshire,517985,358543,-0.23882,53.11104965,5937285891.33252,726095.333466265
15,UKG1,"Herefordshire, Worcestershire and Warwickshire",390692,262189,-2.13776994,52.25780106,5897746311.69804,810085.07132143
16,UKG2,Shropshire and Staffordshire,376573,318829,-2.34863997,52.7665596,6204351807.81584,707722.485476766
17,UKG3,West Midlands,402507,289715,-1.96448004,52.50534058,901639657.391459,256429.939276249
18,UKH1,East Anglia,602130,288929,0.97383302,52.46089935,12579842011.0058,1672652.62106972
19,UKH2,Bedfordshire and Hertfordshire,518883,226203,-0.27267,51.92166901,2878491023.65999,375041.435911223
20,UKH3,Essex,569523,210837,0.45554799,51.77053833,3677230144.77813,1161270.69225756
21,UKI3,Inner London - West,527495,181567,-0.16383,51.51863861,108965038.756453,90662.5098811205
22,UKI4,Inner London - East,536648,185058,-0.03064,51.54787064,210313249.749574,145499.705335915
23,UKI5,Outer London - East and North East,546334,189866,0.11095,51.58864975,433795190.869532,200875.226384628
24,UKI6,Outer London - South,535861,164755,-0.04977,51.36560822,355362186.490038,147196.224461924
25,UKI7,Outer London - West and North West,516574,184076,-0.32032999,51.54354858,465073860.393531,172797.900048208
26,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",462576,202253,-1.09561002,51.71551895,5743410016.58297,583810.667636087
27,UKJ2,"Surrey, East and West Sussex",527932,133940,-0.17460001,51.09051132,5456421431.8312,810659.350703227
28,UKJ3,Hampshire and Isle of Wight,445931,135667,-1.34512997,51.11845016,4149328260.02821,933728.180270169
29,UKJ4,Kent,590108,148050,0.71976799,51.20001984,3739595841.22083,765175.518449903
30,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",383347,180249,-2.2414,51.52090073,7470872977.5441,870055.521658157
31,UKK2,Dorset and Somerset,362838,113805,-2.53008008,50.92248917,6104774915.13943,920409.318583002
32,UKK3,Cornwall and Isles of Scilly,212501,64494,-4.64248991,50.45022964,3565838438.58513,1315272.04300089
33,UKK4,Devon,283141,93082,-3.65701008,50.72555923,6709883385.135,1109377.96907768
34,UKL1,West Wales,236647,236819,-4.38130999,52.0057106,13131269057.0522,2846300.22076963
35,UKL2,East Wales,312334,277025,-3.28945994,52.38422012,7650860888.03588,1309673.9504629
36,UKM5,North Eastern Scotland,360864,814981,-2.64976001,57.22386932,6503696630.86615,779348.600824928
37,UKM6,Highlands and Islands,251287,833327,-4.47424984,57.36603165,41047036047.5769,16647691.1615397
38,UKM7,Eastern Scotland,300521,733779,-3.61698008,56.48554993,13390052053.9503,1386845.15753573
39,UKM8,West Central Scotland,235646,684791,-4.63895988,56.02772903,1977512735.48752,604971.140025295
40,UKM9,Southern Scotland,291849,601430,-3.7047801,55.2950592,15884941902.6313,1562392.36799451
41,UKN0,Northern Ireland,86601,535325,-6.85481024,54.61494064,14333431706.5787,1131177.09054888
