objectid,nuts118cd,nuts118nm,nuts218cd,nuts218nm,nuts318cd,nuts318nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,UKC,North East England,UKC1,Tees Valley and Durham,UKC11,Hartlepool and Stockton-on-Tees,444952,522016,-1.30587006,54.59135056,298521744.990587,164338.508257605
2,UKC,North East England,UKC1,Tees Valley and Durham,UKC12,South Teesside,461718,519597,-1.04694998,54.56784821,298708862.311995,113439.110858883
3,UKC,North East England,UKC1,Tees Valley and Durham,UKC13,Darlington,428029,515649,-1.56834996,54.5353508,197475688.954297,107206.282926219
4,UKC,North East England,UKC1,Tees Valley and Durham,UKC14,Durham CC,410381,532242,-1.8405,54.68513107,2231542399.13429,315237.398863585
5,UKC,North East England,UKC2,Northumberland and Tyne and Wear,UKC21,Northumberland,395323,600699,-2.07521009,55.30036926,5026214898.48348,584227.575486754
6,UKC,North East England,UKC2,Northumberland and Tyne and Wear,UKC22,Tyneside,425849,561221,-1.59800994,54.94498825,402526821.228372,222232.033571226
7,UKC,North East England,UKC2,Northumberland and Tyne and Wear,UKC23,Sunderland,436470,551525,-1.43343997,54.85720062,137438872.523556,99845.9554358683
8,UKD,North West England,UKD1,Cumbria,UKD11,West Cumbria,315410,516775,-3.30893993,54.53915024,2073391044.50952,598174.282558033
9,UKD,North West England,UKD1,Cumbria,UKD12,East Cumbria,354557,530523,-2.70608997,54.66772079,4748804352.96349,710549.932958682
10,UKD,North West England,UKD3,Greater Manchester,UKD33,Manchester,384591,397063,-2.23358989,53.47008896,115648229.027544,86850.9962244639
11,UKD,North West England,UKD3,Greater Manchester,UKD34,Greater Manchester South West,375708,394501,-2.36720991,53.44672012,203242036.581956,91242.3651360338
12,UKD,North West England,UKD3,Greater Manchester,UKD35,Greater Manchester South East,393105,393399,-2.10524988,53.43732834,229194576.480254,97492.6781998426
13,UKD,North West England,UKD3,Greater Manchester,UKD36,Greater Manchester North West,364877,405611,-2.5315299,53.54595947,327963067.975277,122418.441792666
14,UKD,North West England,UKD3,Greater Manchester,UKD37,Greater Manchester North East,388282,410213,-2.17847991,53.58837891,399933222.549905,146298.64975582
15,UKD,North West England,UKD4,Lancashire,UKD41,Blackburn with Darwen,369490,422806,-2.46359992,53.70080185,137022077.719719,65284.9708490121
16,UKD,North West England,UKD4,Lancashire,UKD42,Blackpool,332763,436633,-3.02284002,53.8216095,34851506.0446447,34940.0402925914
17,UKD,North West England,UKD4,Lancashire,UKD44,Lancaster and Wyre,352337,457241,-2.72874999,54.0089798,858364941.221854,442021.124994476
18,UKD,North West England,UKD4,Lancashire,UKD45,Mid Lancashire,366310,440592,-2.51372004,53.86045837,1005491192.61499,337233.390145702
